"PCODE3","instability_DA06","deprivation_DA06","dependency_DA06","ethniccon_DA06","DAPop_2006","instability_q_DA06","deprivation_q_DA06","dependency_q_DA06","Ethniccon_q_DA06"
"K0A","-0.757971751293253671307571463007","-0.743214787430183561996725045093","-0.372499974239230261570515431355","-0.471032324205904113515423042716","120307","1","2","1","1"
"K0B","-0.395293874774673708689415344490","0.042345500798556187778743751358","0.161562763227472104772875461856","-0.708725198774673160399913062378","23005","2","3","2","1"
"K0C","-0.459584324787862344676885003792","-0.155247569322967262041472079192","0.290474194061407674206681834511","-0.675590977622116199255777751168","50106","2","3","2","1"
"K0E","-0.517084942786532491139581928523","-0.215673286192136227922679253765","0.275698763658571830929871881322","-0.672460268569387576583501910542","44490","2","3","2","1"
"K0G","-0.481921519159598123210747726964","-0.499689728602101088180214411725","0.151452846189394845965531279685","-0.674931693943828797448771882209","36845","2","2","2","1"
"K0H","-0.544030309092187155859278504195","-0.209088022880068076253247582946","0.331567530563669018090634183739","-0.691472542289147044742109970612","46958","1","3","2","1"
"K0J","-0.366841007422392488350520318312","-0.013284631967000844728539812591","0.535641303724123469118048688610","-0.741274163661939921773320148797","42474","2","3","2","1"
"K0K","-0.479482574609521294792452830189","-0.164820037318795015916720884841","0.354895972743809347148037302104","-0.629044599607150694241596183041","115275","2","3","2","1"
"K0L","-0.397960869924001148400399158531","-0.110769602021026821686579642915","0.598419015099481624989211931604","-0.682784892454865831444522358272","74156","2","3","2","1"
"K0M","-0.375743152979092718786545360845","-0.164944187918953125211591445165","0.816595239327832480664407048423","-0.776481792409979301857247626410","50451","2","3","2","1"
"K1B","-0.121903311456049704284920597521","-0.271317109933997921761462702040","-0.467388875641361365455916309316","0.326104865933764001715282031949","21221","2","3","1","2"
"K1C","-0.584116859771180669390698233385","-0.871446766777201799435164042783","-0.644321356237757964835957216681","-0.028787118138150212825141208989","41605","1","2","1","2"
"K1E","-0.615433060256416069569176012912","-1.016508299689636537504448950875","-0.753354138144041786574514753963","0.070848370236333347348011422423","24163","1","2","1","2"
"K1G","0.534363371057072672486382569689","0.080043933476346692290932393464","0.207453586853676823434796539571","0.901384304667433716215956424223","31210","3","3","2","2"
"K1H","0.233934600306459984157541504769","-0.523245645544447577092900035323","0.565558522965862900506299305310","0.016323572720844800953726598375","16986","2","2","2","2"
"K1J","0.084538244467192769150420453260","-0.291117702919934261171235717787","0.124037933479390368554621214978","0.519495467054957398904558995437","26519","2","3","2","2"
"K1K","0.862844517297463080795835153633","0.609417595089559880271661569827","0.068173369795859042689675258483","0.393863967263229033224115334207","27468","3","4","2","2"
"K1L","1.693599935167583647715336134454","0.743763197744766235720850840336","-0.032048158487994618185399159664","0.157673793249833951181722689076","15232","4","4","2","2"
