DAUID,PCODE3
35090156,K0A
35061134,K0A
35061235,K0A
35020122,K0A
35470268,K0A
35480234,K0A
35090127,K0A
35061482,K0A
35061501,K0A
35020131,K0A
35020116,K0A
35090115,K0A
35010288,K0A
35060001,K0A
35061506,K0A
35061478,K0A
35020166,K0A
35020146,K0A
35061160,K0A
35061711,K0A
35061447,K0A
35060701,K0A
35060740,K0A
35061680,K0A
35061459,K0A
35060671,K0A
35480228,K0A
35020139,K0A
35060834,K0A
35061458,K0A
35061455,K0A
35090108,K0A
35061555,K0A
35061130,K0A
35060126,K0A
35061460,K0A
35090105,K0A
35060089,K0A
35020091,K0A
35020162,K0A
35020136,K0A
35061123,K0A
35061854,K0A
35060686,K0A
35061113,K0A
35020108,K0A
35470271,K0A
35061507,K0A
35020111,K0A
35061141,K0A
35060690,K0A
35020102,K0B
35020198,K0B
35020103,K0B
35010155,K0B
35020128,K0B
35010156,K0B
35020109,K0B
35020096,K0B
35020105,K0B
35020202,K0B
35020172,K0B
35020201,K0B
35020175,K0B
35010359,K0C
35010354,K0C
35010286,K0C
35010405,K0C
35010287,K0C
35010293,K0C
35010369,K0C
35010284,K0C
35010161,K0C
35010312,K0C
35010275,K0C
35010321,K0C
35010167,K0C
35010350,K0C
35010308,K0C
35010355,K0C
35010345,K0C
35010303,K0C
35010283,K0C
35010159,K0C
35010357,K0C
35020171,K0C
35010404,K0C
35010171,K0C
35010376,K0C
35010300,K0C
35010163,K0C
35010339,K0C
35010332,K0C
35010367,K0C
35070179,K0E
35070260,K0E
35010327,K0E
35070239,K0E
35070328,K0E
35070265,K0E
35010331,K0E
35070322,K0E
35070330,K0E
35070298,K0E
35070242,K0E
35070257,K0E
35010342,K0E
35070232,K0E
35070173,K0E
35070324,K0E
35070169,K0E
35070268,K0E
35070231,K0E
35090160,K0G
35070158,K0G
35070292,K0G
35070290,K0G
35070273,K0G
35070151,K0G
35090154,K0G
35070286,K0G
35090157,K0G
35070278,K0G
35070291,K0G
35070281,K0G
35070157,K0G
35070167,K0G
35090175,K0G
35070294,K0G
35010404,K0G
35110083,K0H
35100248,K0H
35100245,K0H
35110061,K0H
35110081,K0H
35100267,K0H
35110060,K0H
35100272,K0H
