DAUID,PCODE3
10010683,A0A
10010684,A0A
10010535,A0A
10010191,A0A
10010192,A0A
10010193,A0A
10010194,A0A
10010497,A0A
10010500,A0A
10010737,A0A
10010741,A0A
10010742,A0A
10010563,A0A
10010566,A0A
10010564,A0A
10010565,A0A
10010537,A0A
10010539,A0A
10010544,A0A
10010554,A0A
10010555,A0A
10010691,A0A
10010692,A0A
10010546,A0A
10010547,A0A
10010548,A0A
10010549,A0A
10010550,A0A
10010553,A0A
10010538,A0A
10010540,A0A
10010542,A0A
10010559,A0A
10010561,A0A
10010738,A0A
10010739,A0A
10010521,A0A
10010522,A0A
10010523,A0A
10010524,A0A
10010525,A0A
10010526,A0A
10010527,A0A
10010567,A0A
10010724,A0A
10010690,A0A
10010689,A0A
10010499,A0A
10010558,A0A
10010743,A0A
10010687,A0A
10010501,A0A
10010503,A0A
10010498,A0A
10010679,A0A
10010680,A0A
10010789,A0A
10010790,A0A
10010791,A0A
10010534,A0A
10010762,A0A
10010505,A0A
10010764,A0A
10010767,A0A
10010693,A0A
10010536,A0A
10010541,A0A
10010543,A0A
10010694,A0A
10010695,A0A
10010529,A0A
10010530,A0A
10010532,A0A
10010531,A0A
10010765,A0A
10010766,A0A
10010735,A0A
10010736,A0A
10010533,A0A
10010504,A0A
10010506,A0A
10010507,A0A
10010508,A0A
10010509,A0A
10010556,A0A
10010808,A0A
10010811,A0A
10010685,A0A
10010686,A0A
10010712,A0B
10010713,A0B
10010709,A0B
10010714,A0B
10010718,A0B
10010720,A0B
10010721,A0B
10010747,A0B
10010749,A0B
10010690,A0B
10010706,A0B
10010698,A0B
10010700,A0B
10010715,A0B
10010711,A0B
10010695,A0B
10010694,A0B
10010719,A0B
10010753,A0B
10010754,A0B
10010755,A0B
10010756,A0B
10010760,A0B
10010752,A0B
10010699,A0B
10010751,A0B
10010696,A0B
10010702,A0B
10010703,A0B
10010704,A0B
10010757,A0B
10010758,A0B
10010759,A0B
10010761,A0B
10010724,A0B
10010726,A0B
10010722,A0B
10010697,A0B
10010717,A0B
10010746,A0B
10010750,A0B
10010725,A0B
10010727,A0B
10010730,A0B
10010729,A0B
10010728,A0B
10010731,A0B
10010701,A0B
10010707,A0B
10070516,A0C
10070517,A0C
10070518,A0C
10070521,A0C
10070565,A0C
10070515,A0C
10070533,A0C
10070519,A0C
10070563,A0C
10070514,A0C
10070540,A0C
10070541,A0C
10070542,A0C
10070543,A0C
10070520,A0C
10070522,A0C
10070501,A0C
10070502,A0C
10070528,A0C
10070539,A0C
10070545,A0C
10070546,A0C
10070547,A0C
10070526,A0C
10070538,A0C
10070544,A0C
10070523,A0C
10070525,A0C
10070524,A0C
10020081,A0E
10020110,A0E
10020111,A0E
10020114,A0E
10020115,A0E
10020116,A0E
10020108,A0E
10020113,A0E
10020112,A0E
10020097,A0E
10020101,A0E
10020103,A0E
10020107,A0E
10020098,A0E
10020099,A0E
10020104,A0E
10020106,A0E
10020092,A0E
10020128,A0E
10020129,A0E
10020079,A0E
10070551,A0E
10020137,A0E
10020131,A0E
10020132,A0E
10020133,A0E
10020134,A0E
10020135,A0E
10020136,A0E
10020086,A0E
10070548,A0E
10070549,A0E
10070550,A0E
10070552,A0E
10020121,A0E
10020125,A0E
10020124,A0E
10020127,A0E
10020126,A0E
10020122,A0E
10020123,A0E
10020105,A0E
10020087,A0E
10020117,A0E
10020100,A0E
10020096,A0E
10020102,A0E
10020118,A0E
10020120,A0E
10080251,A0G
10070484,A0G
10070485,A0G
10070486,A0G
10060074,A0G
10080244,A0G
10080180,A0G
10070501,A0G
10080185,A0G
10080187,A0G
10070487,A0G
10080249,A0G
10080250,A0G
10080174,A0G
10080170,A0G
10080171,A0G
10080172,A0G
10070496,A0G
10080255,A0G
10080164,A0G
10070493,A0G
10080175,A0G
10080176,A0G
10080177,A0G
10080178,A0G
10070512,A0G
10070511,A0G
10070510,A0G
10080197,A0G
10080166,A0G
10080247,A0G
10080248,A0G
10070500,A0G
10070497,A0G
10070498,A0G
10070499,A0G
10080245,A0G
10080246,A0G
10080167,A0G
10060075,A0G
10060076,A0G
10060077,A0G
10070504,A0G
10070505,A0G
10070492,A0G
10070494,A0G
10070495,A0G
10080162,A0G
10080163,A0G
10080195,A0G
10060078,A0G
10080196,A0G
10080188,A0G
10080189,A0G
10080190,A0G
10080191,A0G
10080192,A0G
10080193,A0G
10080194,A0G
10080198,A0G
10080256,A0G
