DAUID,PCODE3
48061602,T3A
48061602,T3A
48061602,T3A
48061602,T3A
48061602,T3A
48061602,T3A
48061602,T3A
48062216,T3A
48062216,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48061602,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48061602,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48062215,T3A
48062215,T3A
48060256,T3A
48062215,T3A
48062215,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48061602,T3A
48061602,T3A
48061603,T3A
48060256,T3A
48062215,T3A
48060256,T3A
48060256,T3A
48062215,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48062215,T3A
48062215,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48061602,T3A
48061602,T3A
48061602,T3A
48061603,T3A
48060256,T3A
48060256,T3A
48061602,T3A
48061603,T3A
48061603,T3A
48061603,T3A
48061603,T3A
48060256,T3A
48061603,T3A
48061603,T3A
48061603,T3A
48060256,T3A
48060256,T3A
48060256,T3A
48062215,T3A
48060256,T3A
48062215,T3A
48061603,T3A
48061603,T3A
48062215,T3A
48061603,T3A
48062215,T3A
48062215,T3A
48061603,T3A
48062215,T3A
48061603,T3A
48062215,T3A
48062215,T3A
48062215,T3A
48061603,T3A
48061603,T3A
48062215,T3A
48061603,T3A
48062215,T3A
48061602,T3A
48061602,T3A
48061603,T3A
48061602,T3A
48061602,T3A
48061602,T3A
48061602,T3A
48061603,T3A
48061602,T3A
48061603,T3A
48061603,T3A
48060261,T3A
48062215,T3A
48062215,T3A
48061603,T3A
48061603,T3A
48062215,T3A
48060252,T3A
48060252,T3A
48060252,T3A
48061557,T3A
48060254,T3A
48060254,T3A
48060252,T3A
48060252,T3A
48060254,T3A
48060254,T3A
48060254,T3A
48060254,T3A
48060254,T3A
48060254,T3A
48060254,T3A
48060254,T3A
48060252,T3A
48061556,T3A
48060254,T3A
48060254,T3A
48060252,T3A
48060252,T3A
48061556,T3A
48060252,T3A
48061556,T3A
48061556,T3A
48060252,T3A
48060252,T3A
48060252,T3A
48060252,T3A
48061556,T3A
48060252,T3A
48061556,T3A
48061556,T3A
48060252,T3A
48060252,T3A
48060252,T3A
48060252,T3A
48061556,T3A
48061556,T3A
48060254,T3A
