DAUID,PCODE3
10010165,A1E
10010166,A1E
10010167,A1E
10010168,A1E
10010169,A1E
10010170,A1E
10010171,A1E
10010172,A1E
10010173,A1E
10010174,A1E
10010175,A1E
10010176,A1E
10010180,A1E
10010181,A1E
10010182,A1E
10010187,A1G
10010191,A1C
10010193,A1C
10010195,A1E
10010196,A1E
10010198,A1E
10010199,A1E
10010200,A1E
10010201,A1E
10010202,A1E
10010203,A1E
10010204,A1E
10010206,A1E
10010207,A1E
10010208,A1B
10010208,A1E
10010209,A1E
10010210,A1E
10010211,A1E
10010212,A1E
10010213,A1E
10010214,A1E
10010215,A1E
10010216,A1E
10010217,A1E
10010218,A1E
10010219,A1E
10010220,A1E
10010221,A1C
10010222,A1C
10010222,A1E
10010223,A1C
10010224,A1C
10010225,A1C
10010226,A1C
10010227,A1C
10010228,A1C
10010229,A1C
10010230,A1C
10010231,A1C
10010232,A1C
10010233,A1B
10010234,A1C
10010235,A1B
10010236,A1B
10010237,A1B
10010238,A1B
10010239,A1B
10010240,A1B
10010241,A1B
10010242,A1B
10010243,A1B
10010243,A1C
10010243,A1H
10010243,A1N
10010244,A1B
10010245,A1B
10010246,A1B
10010247,A1B
10010248,A1B
10010249,A1B
10010250,A1B
10010251,A1B
10010252,A1C
10010252,A1B
10010253,A1B
10010254,A1B
10010255,A1B
10010256,A1A
10010256,A1B
10010257,A1B
10010258,A1A
10010258,A1B
10010259,A1A
10010260,A1A
10010261,A1A
10010262,A1A
10010263,A1A
10010264,A1A
10010265,A1A
10010266,A1A
10010267,A1A
10010268,A1A
10010269,A1A
10010270,A1A
10010272,A1A
10010273,A1A
10010276,A1A
10010277,A1A
10010278,A1A
10010279,A1A
10010280,A1A
10010281,A1A
10010282,A1A
10010283,A1A
10010283,A1C
10010284,A1A
10010285,A1B
10010285,A1A
10010286,A1A
10010290,A1C
10010294,A1C
10010295,A1C
10010296,A1C
10010297,A1C
10010298,A1C
10010299,A1C
10010300,A1C
10010301,A1C
10010301,A1E
10010302,A1C
10010303,A1C
10010304,A1C
10010305,A1E
10010306,A1E
10010307,A1E
10010307,A1C
10010308,A1C
10010309,A1C
10010310,A1B
10010334,A1E
10010334,A1A
10010334,A1B
10010337,A1B
10010338,A1B
10010339,A1A
10010339,A1B
10010340,A1A
10010341,A1A
10010342,A1A
10010343,A1A
10010344,A1B
10010344,A1A
10010345,A1A
10010346,A1A
10010348,A1A
10010356,A1A
10010357,A1B
10010457,A1C
10010457,A1E
10010458,A1E
10010459,A1E
10010460,A1E
10010461,A1E
10010482,A1B
10010482,A1C
10010482,A1A
10010484,A1E
10010485,A1A
10010486,A1C
10010486,A1A
10010488,A1E
10010489,A1E
10010490,A1E
10010491,A1G
10010492,A1G
10010493,A1C
10010493,A1G
10010494,A1G
10010495,A1G
10010496,A0A
10010502,A0A
10010510,A1Y
10010514,A1Y
10010517,A1Y
10010546,A0A
10010548,A0A
10010560,A0A
10010562,A0A
10010568,A1X
10010569,A1X
10010570,A1X
10010571,A1X
10010572,A1X
10010573,A1X
10010574,A1X
10010575,A1X
10010576,A1X
10010577,A1X
10010578,A1X
10010579,A1X
10010580,A1X
10010581,A1X
10010582,A1X
10010583,A1X
10010584,A1X
10010585,A1X
10010586,A1X
10010587,A1X
10010587,A1W
10010588,A1W
10010589,A1W
10010590,A1W
10010591,A1W
10010591,A1X
10010592,A1W
10010593,A1W
10010594,A1W
10010595,A1W
10010596,A1W
10010597,A1W
10010598,A1W
10010599,A1W
10010600,A1W
10010601,A1W
10010602,A1L
10010602,A1W
10010603,A1W
10010604,A1W
10010605,A1L
10010606,A1L
10010607,A1L
10010608,A1L
10010609,A1L
10010610,A1L
10010611,A1L
10010614,A1L
10010615,A1L
10010616,A1L
10010617,A1L
10010618,A1L
10010619,A1L
10010620,A1N
10010622,A1N
10010623,A1N
10010624,A1N
10010625,A1N
10010626,A1N
10010627,A1N
10010628,A1N
10010629,A1N
10010630,A1N
10010631,A1N
10010632,A1N
10010633,A1N
10010634,A1N
10010635,A1N
10010636,A1N
10010637,A1N
10010638,A1N
10010639,A1N
10010640,A1N
10010641,A1N
10010642,A1N
10010643,A1N
10010644,A1E
10010644,A1H
10010645,A1N
10010646,A1N
10010647,A1N
10010648,A1N
10010649,A1N
10010650,A1N
10010651,A1N
10010652,A1N
10010653,A1N
10010654,A1N
10010655,A1N
10010656,A1N
10010657,A1N
10010658,A1N
10010659,A1N
10010660,A1C
10010661,A1N
10010663,A1N
10010664,A1N
10010666,A1X
10010667,A1W
10010668,A1L
10010669,A1S
10010670,A1S
10010671,A1S
10010675,A1S
10010676,A1S
10010677,A1S
10010678,A1C
10010678,A1S
10010681,A1S
10010688,A1S
10010702,A0B
10010704,A0B
10010705,A0B
10010708,A0B
10010710,A0B
10010712,A0B
10010716,A0B
10010723,A0B
10010733,A0A
10010740,A0A
10010744,A0A
10010745,A0A
10010748,A0B
10010767,A0A
10010768,A1M
10010769,A1M
10010770,A1M
10010771,A1M
10010772,A1M
10010773,A1A
10010775,A1A
10010776,A1K
10010777,A1C
10010777,A1K
10010778,A1K
10010780,A1K
10010781,A1K
10010782,A1K
10010784,A1K
10010785,A1K
10010787,A1K
10010792,A1K
10010793,A1K
10010794,A1K
10010795,A1K
10010796,A1C
10010796,A1K
10010798,A1M
10010799,A1M
10010800,A1M
10010801,A1M
10010802,A1B
10010802,A1M
10010803,A1L
10010804,A1L
10010805,A1L
10010806,A1L
10010812,A1A
10010813,A1B
10010814,A1A
10010815,A1B
10010815,A1A
10010817,A1L
10010818,A1L
10010820,A1L
10010821,A1G
10010822,A1G
10010823,A1G
10010824,A1G
10010824,A1E
10010825,A1H
10010826,A1H
10010827,A1H
10020083,A0E
10020084,A0E
10020085,A0E
10020088,A0E
10020089,A0E
10020091,A0E
10020093,A0E
10020094,A0E
10020095,A0E
10030057,A0H
10030058,A0H
10030059,A0H
10030062,A0H
10030064,A0H
10040080,A2N
10040081,A2N
10040082,A2N
10040083,A2N
10040084,A2N
10040085,A2N
10040086,A2N
10040087,A2N
10040088,A2N
10040089,A2N
10040090,A2N
10040091,A2N
10040092,A2N
10040093,A2N
10040094,A2N
10040095,A2N
10040098,A2N
10040099,A2N
10040116,A0N
10050079,A8A
10050080,A8A
10050081,A8A
10050082,A8A
10050083,A8A
10050084,A8A
10050085,A8A
10050086,A8A
10050087,A8A
10050088,A8A
10050089,A8A
10050090,A8A
10050091,A8A
10050101,A2H
10050102,A2H
10050103,A2H
10050104,A2H
10050105,A2H
10050106,A2H
10050107,A2H
10050108,A2H
10050109,A2H
10050110,A2H
10050111,A2H
10050112,A2H
10050113,A2H
10050114,A2H
10050115,A2H
10050116,A2H
10050120,A2H
10050123,A0L
10050129,A2H
10050130,A2H
10050131,A2H
10050132,A2H
10050133,A2H
10050134,A2H
10050135,A2H
10050136,A2H
10050137,A2H
10050138,A2H
10050139,A2H
10050140,A2H
10050141,A2H
10050143,A2H
10050144,A2H
10050145,A2H
10050146,A2H
10050147,A2H
10050148,A2H
10050149,A2H
10050151,A8A
10050155,A2H
10050156,A2H
10050158,A2H
10050159,A2H
10050160,A2H
10060058,A1V
10060059,A1V
10060060,A1V
10060061,A1V
10060062,A1V
10060063,A1V
10060064,A1V
10060065,A1V
10060066,A1V
10060067,A1V
10060068,A1V
10060069,A1V
10060070,A1V
10060071,A1V
10060072,A1V
10060073,A1V
10060079,A0G
10060086,A2B
10060096,A2A
10060097,A2A
10060098,A2A
10060099,A2A
10060100,A2A
10060101,A2A
10060102,A2A
10060103,A2A
10060104,A2A
10060105,A2A
10060106,A2A
10060107,A2A
10060108,A2A
10060109,A2A
10060110,A2A
10060111,A2A
10060112,A2A
10060113,A2A
10060116,A2B
