Pop2006,Instability_DA06,Deprivation_DA06,Dependency_DA06,Ethniccon_DA06,Instability_q_DA06,Deprivation_q_DA06,Dependency_q_DA06,Ethniccon_q_DA06,PCODE3
640,-0.4148815921538462,-0.16020794515384618,0.3711724074615385,-1.0613204793846154,3,3,4,1,K0B
824,-0.40345215444,-0.57287088112,-0.29214708304000003,-0.6504525108599999,2,2,3,2,K0A
549,-0.07196105958823527,-0.1063057334411765,-0.025325994088235288,-0.033382453441176484,3,3,3,3,K1B
525,-0.5050989102666666,-0.27533547259999996,0.15622150956666664,-0.9468157201000003,2,3,3,1,K0C
746,0.24896210506250002,0.1114757954375,0.39317537331249997,-0.778062520625,4,3,4,2,K7S
564,-0.41798513645833335,0.194190434625,0.8474997354166668,-1.061946892833333,3,4,4,1,K0J
697,-0.16286908553571428,-0.31555364457142854,-0.059521695607142856,-0.7001868411428572,3,3,3,2,K7C
696,1.2163600579249998,-0.340462324575,0.10162006949999998,-0.23594020109999994,4,2,3,3,K1A
895,0.32972867191228067,0.07063236722807016,0.023439336982456083,0.31233691192982455,3,3,3,4,K1G
493,0.45320373365753425,1.0133728710547945,0.8111876851369861,-0.6092100086438356,4,4,4,2,K6H
858,-0.630560834625,-0.78243411225,-0.21049239874999998,-0.6146321432499999,2,1,3,2,K4C
662,2.865845589354838,-0.841092566935484,-0.5421144471290323,-0.3095372951935484,5,2,2,3,K2P
701,0.08482919997872337,-0.023516292244680857,-0.17572407218085112,0.46802027387234035,3,3,3,4,K1V
844,-0.8223891442307694,-0.8665942847692306,-0.3900926033076923,-0.530237538076923,1,1,2,2,K4P
684,-0.3931013164444445,-0.5848462629444443,-0.21824018461111108,-0.2597041080277778,3,2,3,3,K2L
941,-0.6726996339062501,-0.8114290302812501,-0.4854620324375001,0.029229045281249998,2,2,2,3,K2M
2397,-0.1972655748,-1.165038745,-0.9917662917999998,0.3283359136,3,1,1,4,K2V
835,-0.40161763048648647,-0.7895732984594597,-0.1370273865135135,0.1196694791891892,2,2,3,3,K2K
688,0.5617561680392156,0.0033704629607842983,-0.14049210984313723,0.2659678992745098,4,3,3,4,K2C
845,0.03405980050000001,-0.2725549998461539,0.2681727356346154,-0.17666241392307697,3,3,4,3,K2H
907,-0.6634723862564101,-0.7729865251282052,-0.6997943649487183,0.07958492582051285,2,2,2,4,K2J
923,-0.2964487806,-0.9472717902,-0.4214356542,-0.053024383200000004,3,1,3,3,K2R
766,-0.47525885594736844,-0.860968042736842,0.28874098478947363,-0.4476457976315789,2,2,4,2,K4M
677,-0.36464089965079366,-0.6406279740952381,0.014056418555555556,-0.1897740792698413,2,2,3,3,K1C
905,-0.507993664076923,-0.8432900520000002,-0.48190613361538454,-0.08782535469230769,2,2,2,3,K1W
713,-0.6469647256363636,-0.7731317760909092,-0.3682361222727273,-0.5949350978181819,2,2,2,2,K4B
834,-0.1254764409473684,-0.25596761757894737,-0.0035229881052631653,-0.6315254890000002,3,3,3,2,K4K
676,-0.6588556786666667,-0.8173861457777778,-0.5561874657777778,-0.5405184934444445,2,2,2,2,K4R
491,0.5014689741276596,0.9299793466170211,0.8168217744680851,-0.6500001631914892,4,4,4,2,K6J
972,-0.7162380286571429,-1.006905670257143,-0.3555004096857142,-0.37238131939999997,2,1,2,3,K2S
529,-0.21061588320000002,0.2803639756,0.2736391551,-0.7202006141,3,4,4,2,K6K
620,0.6097305961578947,1.1990598893157893,1.0865623231052632,-0.8235073192631579,4,4,4,2,K6A
600,-0.2611896120588235,-0.3122600717058824,0.6736838000588237,-1.0364708082941174,3,3,4,1,K0G
526,-0.38576709452631575,-0.1627812379473684,0.33557942094736837,-0.9531438406842105,3,3,4,1,K0E
510,0.5435089565510204,0.47893083034693873,0.834549441979592,-0.7360238403877551,4,4,4,2,K6V
492,-0.6353217856666666,-0.2674077813333333,0.269281865,-0.8701174278333333,2,3,4,2,K6T
553,0.37029876942105266,0.0541120054736842,1.1103929574736844,-0.9474442497894737,4,3,4,1,K7H
