Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3,2016_standard_derivation.SD_Instability_DA16,2016_standard_derivation.SD_Deprivation_DA16,2016_standard_derivation.SD_Dependency_DA16,2016_standard_derivation.SD_Ethniccon_DA16,2016_standard_derivation.SD_Instability_q_DA16,2016_standard_derivation.SD_Deprivation_q_DA16,2016_standard_derivation.SD_Dependency_q_DA16,2016_standard_derivation.SD_Ethniccon_q_DA16,2016_standard_derivation.PCODE3,2016_standard_derivation.count
565.0192308,-0.264307944,-0.050807398,0.314741736,-0.958032191,2.884615385,3.153846154,3.692307692,1.173076923,K0B,0.447918214,0.553567528,0.689170163,0.185736089,1.003012055,1.036294594,1.094343057,0.4302828,K0B,52
517.7244094,-0.380307098,-0.13319637,0.295186847,-0.919956534,2.519685039,2.960629921,3.62992126,1.330708661,K0C,0.497010488,0.617209654,0.769033834,0.206664739,1.060476036,1.0495772,1.173809086,0.504819913,K0C,127
664.1895735,-0.563977146,-0.6700868,-0.262309218,-0.753071515,2.118483412,1.933649289,2.616113744,1.696682464,K0A,0.427914312,0.428890028,0.599682685,0.326238087,1.018958186,0.983364221,1.214800029,0.794587877,K0A,211
522.2136752,-0.388577528,-0.086075101,0.483296102,-0.936257468,2.555555556,3.051282051,4.051282051,1.282051282,K0E,0.446998156,0.663377307,0.686746114,0.216364809,0.968863932,1.165940155,0.990003081,0.50593297,K0E,117
586.0192308,-0.435514855,-0.406427471,0.385972553,-0.930754249,2.451923077,2.423076923,3.807692308,1.288461538,K0G,0.380174726,0.461965005,0.70051086,0.224743929,0.923057474,1.094490241,1.106704397,0.51526366,K0G,104
496.0666667,-0.454485541,-0.643835159,0.071516974,-0.491240685,2.266666667,1.866666667,3.2,2.433333333,K1E,0.574682572,0.361063702,0.702160663,0.272456914,0.827681987,0.819307249,1.214850636,0.727932042,K1E,30
714.8333333,-0.349586984,-0.656908547,-0.015444385,-0.158169622,2.366666667,1.916666667,3.15,3.15,K1C,0.685926695,0.498360295,0.725688021,0.464448017,1.365018987,1.10915553,1.312585752,0.840197717,K1C,60
546.96875,-0.107713307,-0.093703659,-0.013174505,-0.013289114,3.0625,3.09375,3.125,3.21875,K1B,0.677283743,0.773073036,0.763460876,0.562636451,1.342542124,1.25362378,1.601410668,1.099394995,K1B,32
597.5813953,0.151832025,-0.114440022,0.356534805,0.294163307,3.302325581,2.860465116,3.604651163,3.511627907,K1J,0.957657264,0.857284307,1.002662356,1.016407255,1.336927603,1.440591733,1.416560806,1.141679903,K1J,43
613.1,0.986351192,1.149810928,-0.080148883,0.458004672,4.34,4.1,2.62,3.86,K1K,1.062541947,1.568940042,1.166384226,0.850257797,1.042171986,1.281739889,1.441229634,1.125039682,K1K,50
570.2333333,1.997097817,0.865692545,-0.005948023,-0.013764601,4.9,4.3,2.8,3.3,K1L,0.731927326,0.91429624,0.984165128,0.566483412,0.547722558,1.149212624,1.562491379,0.952311163,K1L,30
504.7692308,0.65884077,-1.081671805,0.315090052,-0.41232126,3.923076923,1.230769231,3.307692308,2.692307692,K1M,1.015392683,0.461467173,1.194061268,0.297045999,1.441153384,0.43852901,1.315587029,0.854850414,K1M,13
687.9032258,1.271157324,-0.244868218,0.116989062,-0.245924712,4.161290323,2.612903226,2.935483871,2.741935484,K1A,1.401900461,1.317429274,1.300345121,0.684335316,1.267458722,1.626395183,1.504116216,1.210171942,K1A,31
558.8444444,2.138455441,0.225394266,-0.211608042,0.306816,4.688888889,2.822222222,2.377777778,3.511111111,K1N,1.167471975,1.801197758,1.147903275,0.984992936,0.900056115,1.59955802,1.613703939,1.217714368,K1N,45
575.18,0.654727008,-0.875646203,-0.407974584,-0.267082059,3.92,1.54,2.18,2.9,K1S,1.093655789,0.435797095,0.714370607,0.570129137,1.226243642,0.885483841,1.365612668,1.054630219,K1S,50
566.5666667,2.369204535,-0.310413347,-0.54251039,-0.014245187,5,2.466666667,1.9,3.266666667,K1R,0.689511413,1.15892249,1.246741776,0.653088333,0,1.502488357,1.268993628,1.048260738,K1R,30
759,2.206666283,-1.108609352,-0.263748831,-0.284970429,4.8,1.4,2.4,2.8,K1P,1.146491996,0.554172101,0.82451961,0.534000144,0.447213595,0.894427191,1.673320053,1.303840481,K1P,5
554.1666667,1.008944669,-0.744255509,-0.375698898,-0.41029883,4.055555556,1.833333333,2.25,2.611111111,K1Y,1.322207931,0.700371069,0.79123221,0.434635596,1.193899839,1.253566341,1.360147051,1.076443291,K1Y,36
715.4871795,0.684304145,0.391446027,-0.469013999,0.119043329,3.897435897,2.923076923,2.205128205,3.282051282,K1Z,1.162345405,1.844042883,0.756849057,0.924100264,1.410391357,1.737884609,1.379921569,1.296731071,K1Z,39
697.8181818,0.216169168,-0.61290993,0.107323005,-0.326680591,3.212121212,2.060606061,3.060606061,2.848484848,K2A,1.160766085,0.417746867,1.229497373,0.272375725,1.494940964,0.899284227,1.321443196,0.712443512,K2A,33
