PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
K0B,0.75,0.75,0.75,0.769230769,0.673076923,0.653846154,0.557692308,0.846153846
K0C,0.850393701,0.779527559,0.708661417,0.677165354,0.645669291,0.834645669,0.511811024,0.68503937
K0A,0.791469194,0.687203791,0.786729858,0.786729858,0.592417062,0.763033175,0.611374408,0.862559242
K0E,0.794871795,0.743589744,0.64957265,0.64957265,0.726495726,0.777777778,0.717948718,0.743589744
K0G,0.788461538,0.682692308,0.653846154,0.663461538,0.740384615,0.586538462,0.471153846,0.740384615
K1E,0.9,0.666666667,0.733333333,0.633333333,0.833333333,0.433333333,0.7,0.866666667
K1C,0.783333333,0.666666667,0.733333333,0.833333333,0.4,0.883333333,0.666666667,0.483333333
K1B,0.625,0.71875,0.59375,0.625,0.6875,0.71875,0.46875,0.5625
K1J,0.720930233,0.697674419,0.744186047,0.813953488,0.651162791,0.604651163,0.76744186,0.581395349
K1K,0.7,0.66,0.88,0.62,0.86,0.82,0.56,0.56
K1L,0.766666667,0.766666667,0.8,0.8,0.966666667,0.866666667,0.5,0.8
K1M,0.538461538,0.769230769,0.769230769,0.692307692,0.769230769,0.769230769,0.692307692,0.769230769
K1A,0.516129032,0.774193548,0.903225806,0.741935484,0.870967742,0.806451613,0.548387097,0.516129032
K1N,0.755555556,0.844444444,0.822222222,0.755555556,0.911111111,0.422222222,0.688888889,0.533333333
K1S,0.68,0.74,0.78,0.86,0.84,0.86,0.8,0.62
K1R,0.7,0.833333333,0.933333333,0.833333333,1,0.666666667,0.866666667,0.7
K1P,0.8,0.6,0.6,0.6,0.8,0.8,0.8,0.8
K1Y,0.5,0.805555556,0.805555556,0.75,0.833333333,0.888888889,0.805555556,0.666666667
K1Z,0.692307692,0.743589744,0.769230769,0.743589744,0.820512821,0.333333333,0.794871795,0.666666667
K2A,0.727272727,0.666666667,0.878787879,0.727272727,0.545454545,0.393939394,0.696969697,0.575757576
K2C,0.744680851,0.85106383,0.744680851,0.70212766,0.595744681,0.553191489,0.617021277,0.489361702
K2G,0.734939759,0.746987952,0.626506024,0.698795181,0.614457831,0.457831325,0.397590361,0.722891566
K2E,0.696969697,0.666666667,0.727272727,0.818181818,0.454545455,0.545454545,0.757575758,0.545454545
K1V,0.710843373,0.807228916,0.698795181,0.771084337,0.481927711,0.457831325,0.397590361,0.56626506
K2H,0.729166667,0.8125,0.729166667,0.791666667,0.604166667,0.4375,0.5,0.8125
K2B,0.666666667,0.857142857,0.761904762,0.738095238,0.833333333,0.476190476,0.595238095,0.547619048
K2J,0.734177215,0.696202532,0.772151899,0.721518987,0.392405063,0.797468354,0.860759494,0.708860759
K1T,0.756756757,0.675675676,0.675675676,0.72972973,0.594594595,0.513513514,0.702702703,0.864864865
K1H,0.8,0.866666667,0.8,0.9,0.633333333,0.833333333,0.666666667,0.6
K1G,0.836734694,0.836734694,0.836734694,0.755102041,0.530612245,0.530612245,0.673469388,0.387755102
K1W,0.636363636,0.636363636,0.818181818,0.636363636,0.727272727,0.909090909,0.818181818,0.818181818
K1X,1,1,1,1,1,1,1,1
K0H,0.787878788,0.808080808,0.686868687,0.747474747,0.727272727,0.525252525,0.515151515,0.757575758
K0K,0.802631579,0.789473684,0.75,0.666666667,0.710526316,0.811403509,0.912280702,0.960526316
K0L,0.778481013,0.715189873,0.613924051,0.702531646,0.734177215,0.708860759,0.841772152,0.664556962
K0J,0.782608696,0.695652174,0.666666667,0.724637681,0.768115942,0.565217391,0.739130435,0.811594203
K0M,0.807228916,0.710843373,0.674698795,0.65060241,0.795180723,0.638554217,0.795180723,0.807228916
K2K,0.785714286,0.785714286,0.904761905,0.619047619,0.80952381,0.857142857,0.785714286,0.714285714
K2L,0.787878788,0.757575758,0.696969697,0.606060606,0.757575758,0.848484848,0.545454545,0.545454545
K2M,0.75,0.8125,0.8125,0.75,0.78125,0.875,0.78125,0.84375
K2P,0.875,0.833333333,0.708333333,0.75,0.916666667,0.875,0.75,0.416666667
K2R,1,1,1,1,1,1,1,1
K2S,0.72972973,0.72972973,0.891891892,0.594594595,0.810810811,0.756756757,0.810810811,0.594594595
K2T,0.777777778,0.777777778,0.888888889,0.666666667,0.555555556,0.888888889,0.777777778,0.888888889
K2V,0.8,0.6,0.8,0.6,1,1,0.8,0.6
K2W,0.769230769,0.769230769,0.538461538,0.615384615,0.615384615,0.769230769,0.769230769,0.615384615
K4A,0.76056338,0.690140845,0.605633803,0.690140845,0.901408451,0.873239437,0.774647887,0.788732394
K4B,0.666666667,0.777777778,0.611111111,0.722222222,0.555555556,0.944444444,0.333333333,0.666666667
K4C,0.857142857,0.857142857,0.714285714,0.571428571,0.714285714,0.857142857,0.571428571,0.714285714
K4K,0.714285714,0.80952381,0.80952381,0.619047619,0.666666667,0.571428571,0.619047619,0.571428571
K4M,0.75,0.55,0.7,0.7,0.55,0.75,0.5,0.45
K4P,0.615384615,0.769230769,0.769230769,0.538461538,0.846153846,0.846153846,0.538461538,0.769230769
K4R,0.789473684,0.736842105,0.736842105,0.684210526,0.736842105,0.631578947,0.894736842,0.578947368
K6A,0.576923077,0.730769231,0.769230769,0.769230769,0.5,0.884615385,0.884615385,0.923076923
K6H,0.594936709,0.670886076,0.734177215,0.810126582,0.443037975,0.810126582,0.772151899,0.620253165
K6J,0.641025641,0.615384615,0.948717949,0.769230769,0.820512821,0.871794872,0.820512821,0.58974359
K6K,0.875,0.75,0.5,0.5,0.75,0.75,0.625,0.875
K6T,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.333333333,1
K6V,0.710144928,0.739130435,0.739130435,0.710144928,0.420289855,0.434782609,0.782608696,0.826086957
K7A,0.634146341,0.731707317,0.682926829,0.731707317,0.731707317,0.414634146,0.512195122,0.926829268
K7C,0.735294118,0.617647059,0.794117647,0.735294118,0.588235294,0.558823529,0.794117647,0.882352941
K7G,0.88,0.76,0.72,0.76,0.68,0.68,0.76,0.72
K7H,0.742857143,0.657142857,0.714285714,0.685714286,0.714285714,0.514285714,0.742857143,0.8
K7K,0.660377358,0.754716981,0.754716981,0.716981132,0.830188679,0.735849057,0.622641509,0.641509434
K7L,0.677966102,0.745762712,0.745762712,0.694915254,0.745762712,0.813559322,0.661016949,0.474576271
K7M,0.775,0.775,0.7625,0.825,0.45,0.7375,0.8,0.6875
K7N,0.692307692,0.769230769,0.769230769,0.769230769,0.538461538,0.769230769,0.615384615,0.846153846
K7P,0.827586207,0.75862069,0.827586207,0.586206897,0.517241379,0.896551724,0.793103448,0.724137931
K7R,0.694444444,0.722222222,0.722222222,0.777777778,0.833333333,0.666666667,0.333333333,0.888888889
K7S,0.72,0.64,0.72,0.76,0.72,0.76,0.52,0.88
K7V,0.689655172,0.448275862,0.655172414,0.75862069,0.517241379,0.413793103,0.793103448,0.793103448
K8A,0.72,0.66,0.84,0.76,0.72,0.5,0.58,0.68
K8B,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,1,0.666666667,0.666666667
K8H,0.529411765,0.588235294,0.647058824,0.764705882,0.647058824,0.705882353,0.882352941,0.588235294
K8N,0.709677419,0.774193548,0.838709677,0.725806452,0.661290323,0.580645161,0.483870968,0.483870968
K8P,0.657894737,0.631578947,0.736842105,0.736842105,0.815789474,0.815789474,0.815789474,0.763157895
K8R,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
K8V,0.701754386,0.578947368,0.807017544,0.736842105,0.666666667,0.456140351,0.561403509,0.456140351
K9A,0.685185185,0.796296296,0.814814815,0.777777778,0.685185185,0.648148148,0.87037037,0.888888889
K9H,0.632653061,0.714285714,0.755102041,0.714285714,0.857142857,0.897959184,0.795918367,0.755102041
K9J,0.75257732,0.711340206,0.804123711,0.773195876,0.443298969,0.536082474,0.494845361,0.618556701
K9K,0.5,0.611111111,0.666666667,0.5,0.388888889,0.722222222,0.611111111,0.722222222
K9L,0.769230769,0.769230769,0.615384615,0.538461538,0.615384615,0.615384615,0.538461538,0.615384615
K9V,0.673076923,0.807692308,0.807692308,0.75,0.538461538,0.461538462,0.807692308,0.423076923
L0A,0.825,0.625,0.625,0.75,0.65,0.65,0.775,0.625
L0B,0.86440678,0.711864407,0.779661017,0.813559322,0.694915254,0.745762712,0.627118644,0.86440678
L0C,0.676470588,0.705882353,0.882352941,0.705882353,0.5,0.676470588,0.676470588,0.852941176
L0E,0.622641509,0.716981132,0.830188679,0.754716981,0.698113208,0.660377358,0.811320755,0.905660377
L0G,0.739583333,0.677083333,0.90625,0.760416667,0.614583333,0.645833333,0.5625,0.770833333
L0H,0.692307692,0.769230769,0.692307692,0.692307692,0.461538462,0.846153846,0.692307692,0.692307692
L0J,0.545454545,0.454545455,0.727272727,0.818181818,0.909090909,0.727272727,0.545454545,0.818181818
L0K,0.792079208,0.762376238,0.742574257,0.643564356,0.792079208,0.811881188,0.544554455,0.732673267
L0L,0.735294118,0.754901961,0.892156863,0.745098039,0.676470588,0.549019608,0.745098039,0.382352941
L0M,0.795180723,0.65060241,0.78313253,0.771084337,0.626506024,0.578313253,0.626506024,0.409638554
L0N,0.705882353,0.735294118,0.794117647,0.676470588,0.558823529,0.588235294,0.794117647,0.5
L0P,0.666666667,0.743589744,0.743589744,0.666666667,0.512820513,0.820512821,0.717948718,0.615384615
L0R,0.771186441,0.728813559,0.915254237,0.813559322,0.754237288,0.550847458,0.618644068,0.449152542
L0S,0.691489362,0.755319149,0.819148936,0.755319149,0.627659574,0.553191489,0.595744681,0.840425532
L1A,0.810810811,0.783783784,0.756756757,0.702702703,0.756756757,0.594594595,0.567567568,0.945945946
L1B,0.636363636,0.636363636,0.909090909,0.681818182,0.545454545,0.636363636,0.636363636,0.636363636
L1C,0.797297297,0.689189189,0.905405405,0.702702703,0.527027027,0.72972973,0.391891892,0.702702703
L1E,0.868421053,0.894736842,0.973684211,0.710526316,0.631578947,0.710526316,0.789473684,0.710526316
L1G,0.786666667,0.746666667,0.813333333,0.693333333,0.626666667,0.56,0.373333333,0.573333333
L1H,0.752808989,0.696629213,0.764044944,0.820224719,0.606741573,0.808988764,0.685393258,0.629213483
L1J,0.726190476,0.75,0.726190476,0.702380952,0.583333333,0.880952381,0.702380952,0.630952381
L1K,0.764705882,0.784313725,0.62745098,0.666666667,0.647058824,0.607843137,0.784313725,0.725490196
L1L,0.666666667,0.833333333,0.666666667,0.666666667,0.833333333,0.833333333,0.833333333,0.833333333
L1M,0.774193548,0.741935484,0.838709677,0.677419355,0.935483871,0.935483871,0.838709677,0.870967742
L1N,0.784090909,0.795454545,0.715909091,0.784090909,0.590909091,0.454545455,0.647727273,0.636363636
L1P,0.826086957,0.869565217,0.956521739,0.608695652,0.869565217,0.52173913,0.782608696,0.608695652
L1R,0.859649123,0.736842105,0.859649123,0.701754386,0.842105263,0.561403509,0.842105263,0.666666667
L1S,0.739726027,0.808219178,0.808219178,0.657534247,0.657534247,0.753424658,0.410958904,0.479452055
L1T,0.8125,0.7125,0.7875,0.6875,0.95,0.5875,0.9,0.7
L1V,0.857142857,0.702380952,0.94047619,0.726190476,0.857142857,0.583333333,0.523809524,0.571428571
L1W,0.75862069,0.689655172,0.75862069,0.586206897,0.724137931,0.586206897,0.75862069,0.75862069
L1X,0.678571429,0.607142857,0.714285714,0.714285714,0.964285714,0.571428571,0.857142857,0.928571429
L1Y,0.857142857,0.571428571,0.714285714,0.714285714,1,0.714285714,0.428571429,0.714285714
L1Z,0.666666667,0.80952381,0.714285714,0.523809524,0.666666667,0.666666667,0.904761905,0.714285714
L2A,0.75,0.6875,0.6875,0.78125,0.53125,0.5625,0.875,0.40625
L2E,0.746031746,0.666666667,0.904761905,0.73015873,0.555555556,0.761904762,0.80952381,0.492063492
L2G,0.654545455,0.618181818,0.690909091,0.727272727,0.6,0.763636364,0.581818182,0.636363636
L2H,0.882352941,0.823529412,0.970588235,0.764705882,0.647058824,0.617647059,0.588235294,0.676470588
L2J,0.75,0.571428571,0.821428571,0.714285714,0.607142857,0.678571429,0.75,0.678571429
L2M,0.677419355,0.677419355,0.822580645,0.758064516,0.451612903,0.451612903,0.887096774,0.564516129
L2N,0.685185185,0.611111111,0.722222222,0.703703704,0.574074074,0.407407407,0.833333333,0.555555556
L2P,0.68,0.8,0.68,0.76,0.6,0.6,0.56,0.4
L2R,0.695652174,0.666666667,0.797101449,0.768115942,0.811594203,0.52173913,0.739130435,0.608695652
L2S,0.78125,0.6875,0.75,0.59375,0.59375,0.40625,0.625,0.4375
L2T,0.736842105,0.736842105,0.842105263,0.631578947,0.631578947,0.736842105,0.315789474,0.578947368
L2V,0.838709677,0.612903226,0.677419355,0.709677419,0.580645161,0.709677419,0.677419355,0.677419355
L2W,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.5
L3B,0.666666667,0.621212121,0.727272727,0.742424242,0.560606061,0.757575758,0.424242424,0.636363636
L3C,0.803921569,0.725490196,0.705882353,0.666666667,0.647058824,0.62745098,0.470588235,0.725490196
L3K,0.702702703,0.702702703,0.864864865,0.756756757,0.567567568,0.405405405,0.945945946,0.891891892
L3M,0.846153846,0.717948718,0.846153846,0.717948718,0.487179487,0.846153846,0.384615385,0.435897436
L3P,0.92,0.653333333,0.786666667,0.64,0.786666667,0.64,0.586666667,0.44
L3R,0.87804878,0.719512195,0.865853659,0.731707317,0.829268293,0.682926829,0.719512195,0.865853659
L3S,0.709090909,0.709090909,0.690909091,0.709090909,0.836363636,0.818181818,0.418181818,1
L3T,0.808823529,0.794117647,0.691176471,0.838235294,0.441176471,0.720588235,0.544117647,0.941176471
L3V,0.693181818,0.647727273,0.738636364,0.727272727,0.647727273,0.75,0.5,0.784090909
L3X,0.806451613,0.967741935,0.612903226,0.612903226,0.870967742,0.580645161,0.741935484,0.612903226
L3Y,0.674418605,0.76744186,0.674418605,0.76744186,0.651162791,0.581395349,0.581395349,0.709302326
L3Z,0.828571429,0.628571429,0.657142857,0.714285714,0.542857143,0.857142857,0.485714286,0.714285714
L4A,0.863636364,0.704545455,0.795454545,0.704545455,0.590909091,0.863636364,0.659090909,0.795454545
L4B,0.890909091,0.709090909,0.636363636,0.672727273,0.872727273,0.472727273,0.709090909,0.927272727
L4C,0.6875,0.671875,0.8125,0.671875,0.6171875,0.4609375,0.734375,0.9453125
L4E,0.65,0.8,0.8,0.6,0.8,0.5,0.8,0.95
