Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,PCODE3
2.844491338,2.99969368,3.747591981,1.188693373,K0B
2.522334261,2.889233624,3.643123299,1.349698103,K0C
2.09785649,1.834527343,2.563648818,1.850446683,K0A
2.556850358,3.00026187,4.053012324,1.294194668,K0E
2.4491353,2.33618285,3.842270206,1.29960949,K0G
2.31662411,1.920507996,3.297607848,2.465528827,K1E
2.412240616,1.839356493,2.984122173,3.269410119,K1C
3.356338913,3.190253099,2.75769868,3.330514769,K1B
3.500350249,2.962717933,3.492255604,3.645586862,K1J
4.405969662,4.142064916,2.711825151,3.933681292,K1K
4.912667329,4.165195534,2.936692582,3.271584731,K1L
3.992227979,1.262115209,3.351264858,2.701767754,K1M
4.093130129,2.70926143,2.872403283,2.894958968,K1A
4.614402736,2.742683315,2.360704629,3.459797996,K1N
4.032894051,1.68288188,2.091553948,3.052296672,K1S
5,2.39495205,1.958463258,3.304583162,K1R
4.763636364,1.472727273,2.29828722,2.903820817,K1P
4.024912281,1.760350877,2.187017544,2.582756892,K1Y
3.748638188,2.459217317,2.062392489,3.317696388,K1Z
3.571043946,1.967213827,3.070566267,2.873024145,K2A
3.196041549,2.163374924,2.193052856,4.048299789,K2C
2.718267755,2.35697261,2.4577846,3.878544882,K2G
3.715136719,2.876708984,3.445849609,3.59375,K2E
3.513560711,2.901083431,2.454702591,3.884511209,K1V
3.390376186,2.304539488,2.715990985,3.591619406,K2H
4.53303087,3.814536648,2.894178597,3.678121456,K2B
2.183992602,1.525018566,1.428923732,4.20049883,K2J
2.564618563,2.298970847,1.436471804,4.766030301,K1T
3.19678057,2.483535724,3.579723242,3.324710534,K1H
3.664293522,3.167026376,2.748577515,3.961403705,K1G
2.144498412,1.185783673,1.409490006,3.697179152,K1W
3.616371835,1,1.575442248,3.616371835,K1X
2.473979764,2.509359191,3.849831366,1.333254637,K0H
2.533452565,2.894265802,4.007597313,1.467678164,K0K
2.651647957,3.164436927,4.385545133,1.361556205,K0L
2.602528401,3.34172848,4.283521033,1.219892062,K0J
2.84131889,3.182264253,4.486519067,1.194471799,K0M
2.102668891,1.462274117,2.227773144,3.685515708,K2K
2.646581085,2.128215876,2.654859838,3.073722819,K2L
2.166072202,1.312577086,1.700723357,3.607053568,K2M
4.803452693,1.816629049,2.162996401,2.954492771,K2P
2.452380952,1,3.031746032,3,K2R
1.871222939,1.174044668,1.790598046,3.137802022,K2S
2.432347104,1.074688797,1.925040592,4.34205304,K2T
3.266939252,1,1.192256342,4.027536716,K2V
1.40985267,1.156353591,1.454972376,3.925322284,K2W
2.062078603,1.547213974,1.518078603,3.746934498,K4A
2.469182843,1.310849081,1.55707739,3.511662633,K4B
1.881849315,1.297260274,2.89640411,2.102054795,K4C
2.731132907,2.218828919,2.485405532,2.136665296,K4K
2.132901358,1.295857172,2.939132832,2.540842352,K4M
1.374363173,1.202965793,2.129457787,2.588245997,K4P
1.846006445,2.021078303,1.943733124,2.200156781,K4R
3.680207812,3.840448172,4.485728593,1.501314472,K6A
3.697627396,3.84443705,4.132195234,2.148882803,K6H
3.896240447,4.110068216,4.249422988,2.163973945,K6J
2.701130079,3.299110363,4.315941332,1.588843472,K6K
2.028813559,2.982033898,3.902033898,1.534576271,K6T
3.385080415,3.343618113,4.304636706,1.76140641,K6V
2.932005523,3.19699569,3.761119712,1.439767354,K7A
2.689705944,2.206470069,2.983341046,1.712296496,K7C
3.120344677,2.634000292,4.229443552,1.275741201,K7G
3.007593999,2.606362289,4.159335062,1.187442119,K7H
4.094111605,3.38164295,2.834073537,3.070364664,K7K
3.124042051,1.948221655,2.92346237,2.828158774,K7L
3.680927237,2.955638226,3.71924877,2.62374495,K7M
2.990501069,2.762289242,2.874020423,2.478508668,K7N
2.650103685,1.912625618,2.677380762,2.837573776,K7P
2.937809373,3.061242759,4.05745129,1.517008952,K7R
3.105660377,2.648427673,4.018010292,1.623899371,K7S
3.262626823,3.427953651,4.390419693,1.21516882,K7V
3.210449652,3.160766308,3.567479417,1.406459785,K8A
2.379228487,2.067655786,4.378041543,1.310385757,K8B
3.146827513,1.626899493,1.375166622,2.313649693,K8H
3.157779364,2.94089009,3.755454731,2.066144984,K8N
4.273893805,4.198141593,3.893141593,2.561681416,K8P
2.31212485,1.6242497,4.62484994,1.68787515,K8R
3.128693268,3.413889735,3.524398416,2.038379531,K8V
3.301559382,2.614146061,4.168622941,1.68484254,K9A
4.140041593,3.913805791,3.912078068,2.465429531,K9H
3.50249598,3.330072367,3.715374564,2.313974136,K9J
2.768288557,1.895377952,3.777086012,2.846382892,K9K
2.829671437,2.943055836,3.515823423,2.54273332,K9L
