PCODE3,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Instability_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Deprivation_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Dependency_q_DA16,2016_weightedAverage_q_within_2SD.in1SD_Ethniccon_q_DA16
K0B,2.844491338,2.99969368,3.747591981,1.188693373,0.942307692,1,0.980769231,0.980769231
K0C,2.522334261,2.889233624,3.643123299,1.349698103,0.960629921,0.921259843,0.960629921,0.984251969
K0A,2.09785649,1.834527343,2.563648818,1.850446683,0.971563981,0.914691943,0.886255924,0.971563981
K0E,2.556850358,3.00026187,4.053012324,1.294194668,0.965811966,1,0.923076923,0.974358974
K0G,2.4491353,2.33618285,3.842270206,1.29960949,0.980769231,0.971153846,1,0.971153846
K1E,2.31662411,1.920507996,3.297607848,2.465528827,0.933333333,0.966666667,1,0.866666667
K1C,2.412240616,1.839356493,2.984122173,3.269410119,1,0.966666667,1,0.933333333
K1B,3.356338913,3.190253099,2.75769868,3.330514769,1,1,1,0.96875
K1J,3.500350249,2.962717933,3.492255604,3.645586862,1,1,1,0.953488372
K1K,4.405969662,4.142064916,2.711825151,3.933681292,0.92,0.94,1,0.94
K1L,4.912667329,4.165195534,2.936692582,3.271584731,0.966666667,0.933333333,1,0.933333333
K1M,3.992227979,1.262115209,3.351264858,2.701767754,0.923076923,1,1,1
K1A,4.093130129,2.70926143,2.872403283,2.894958968,0.935483871,1,1,1
K1N,4.614402736,2.742683315,2.360704629,3.459797996,0.933333333,1,1,0.933333333
K1S,4.032894051,1.68288188,2.091553948,3.052296672,0.94,0.94,0.9,1
K1R,5,2.39495205,1.958463258,3.304583162,1,1,0.933333333,0.933333333
K1P,4.763636364,1.472727273,2.29828722,2.903820817,1,1,1,1
K1Y,4.024912281,1.760350877,2.187017544,2.582756892,1,0.916666667,0.888888889,0.944444444
K1Z,3.748638188,2.459217317,2.062392489,3.317696388,1,1,0.897435897,1
