DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16
35010155,457,-0.47718923,0.053000097,0.227839327,-1.263003133,2,4,4,1
35010156,448,-0.259485231,-0.052982305,0.703184178,-1.128303939,3,3,5,1
35010157,469,-0.781858561,-0.0275321,-0.077085408,-1.090066068,1,3,3,1
35010158,492,-0.422902612,0.620256383,0.168925164,-0.868030349,3,4,4,1
35010159,517,-0.576017951,-0.036931954,0.519181215,-0.815481743,2,3,4,1
35010160,509,-0.497103077,-0.229780522,-0.033768108,-0.860491807,2,3,3,1
35010161,388,-0.645380974,0.002529282,0.161122159,-0.890082342,2,3,4,1
35010162,376,0.014347359,0.261212345,1.854599258,-1.070345636,4,4,5,1
35010163,501,-0.410452323,-0.183758311,0.376654714,-1.188088096,3,3,4,1
35010164,447,-0.700966999,-0.199257432,0.674278837,-1.209023404,2,3,5,1
35010165,418,-0.544103595,-0.1901062,0.389948262,-0.805005689,2,3,4,1
35010166,478,-0.866608395,-0.124976622,0.208302416,-0.929619161,1,3,4,1
35010167,458,-0.688440884,-0.306553139,0.460398302,-0.925967977,2,3,4,1
35010168,445,-0.831324115,-0.634799156,-0.304366214,-0.478606306,1,2,3,3
35010169,433,-0.741801205,-0.355244321,-0.250899747,-0.68410171,2,3,3,2
35010170,493,-0.680819172,-0.511334669,-0.101050474,-0.643481113,2,2,3,2
35010171,467,-0.725896249,-0.137053662,0.371603542,-0.845622583,2,3,4,1
35010172,1207,-0.570289989,-0.458988839,-0.329124703,-0.748125762,2,2,2,2
35010173,739,-0.480260191,-1.000754243,0.654239143,-1.087049561,2,1,5,1
35010179,505,-0.606564117,-1.200682764,0.252987522,-0.698494222,2,1,4,2
35010180,999,0.234576492,-0.017524914,1.275767771,-0.239466166,4,3,5,3
35010181,367,-0.550998163,0.15110166,0.310288028,-0.441745644,2,4,4,3
35010182,448,-0.662411434,-0.271235831,1.578531144,-0.939915189,2,3,5,1
35010183,744,-0.321693503,2.450469891,-0.427529017,1.670910914,3,5,2,5
35010184,410,-0.349183929,-0.943753537,1.63088536,-0.930515492,3,1,5,1
35010185,843,1.127151552,0.979055477,2.131664645,-0.310470477,5,5,5,3
35010186,624,0.27730386,0.324886342,0.999324326,-0.706661315,4,4,5,2
35010187,529,1.156095636,1.618562433,1.312953896,-0.425676517,5,5,5,3
35010188,439,0.293061334,1.524161096,0.688307681,-0.764198019,4,5,5,2
35010189,376,-0.246914686,-0.927454864,0.227709996,-0.870945652,3,1,4,1
35010190,411,0.322388439,1.843648158,0.435459885,-0.387030594,4,5,4,3
35010191,457,1.127614909,1.389252922,0.343673371,-0.467583291,5,5,4,3
35010192,444,0.529506645,0.832541949,0.06650756,-0.099158446,4,5,4,3
35010193,327,1.571354757,2.884383641,0.423968311,-0.164499951,5,5,4,3
35010194,360,1.256134774,3.689623943,-0.116227823,-0.458973805,5,5,3,3
35010195,379,1.238589301,5.044350233,-0.155372064,-0.341383012,5,5,3,3
35010196,367,1.31770241,4.827650343,0.219789528,0.168134294,5,5,4,4
35010197,394,1.411378861,2.931463003,-0.461984546,-0.338342903,5,5,2,3
35010198,354,2.147661632,2.689436344,3.397148369,-0.795842442,5,5,5,2
35010199,454,1.645593292,4.630209347,-0.349615057,-0.211106656,5,5,2,3
35010200,414,1.238639071,2.741827262,0.618316453,-0.005946903,5,5,5,4
35010202,507,1.522385494,2.440459331,1.049737816,-0.537702196,5,5,5,2
35010203,563,1.219196224,1.843371867,0.79541825,-0.424680984,5,5,5,3
35010204,485,1.897993806,1.579976223,3.051464762,-0.589374065,5,5,5,2
35010205,322,1.280044383,1.722594394,0.275239297,-0.876265526,5,5,4,1
35010206,457,0.618645323,0.711296051,0.91754446,-0.767761905,4,5,5,2
35010207,283,-0.141241266,0.627687901,0.471520922,-0.667908186,3,4,4,2
35010208,430,0.606545413,1.42776354,0.541836205,-0.41779348,4,5,4,3
35010209,432,0.944887488,1.390904909,-0.300960259,-0.774095876,5,5,3,2
35010210,497,2.099540839,1.915666448,1.574357099,-1.103166016,5,5,5,1
35010211,460,0.654223715,1.547056932,-0.022683535,-0.59681303,4,5,3,2
35010212,431,1.309403321,1.583074264,0.256856951,-0.73095373,5,5,4,2
35010213,509,-0.084078681,1.976148316,0.421635833,-0.982837239,3,5,4,1
35010214,352,0.201364461,1.207866306,0.368124078,-1.046884815,4,5,4,1
35010215,670,-0.083157899,1.293986959,1.427455837,-0.23695341,3,5,5,3
35010216,431,0.200126127,-0.063740098,1.16024458,-0.752375282,4,3,5,2
35010217,745,0.218923932,1.338467285,0.492674309,-0.205898814,4,5,4,3
35010218,473,0.254425916,1.647658062,-0.04681575,-0.333481373,4,5,3,3
35010219,451,0.474075462,0.582099597,1.34141194,-0.832225277,4,4,5,1
35010220,468,0.081168946,0.527288321,0.812759134,-1.158662674,4,4,5,1
35010221,494,0.442332839,1.28296465,0.761092359,-0.738452058,4,5,5,2
35010222,500,0.369474814,1.374143896,0.552225005,-0.656419988,4,5,4,2
35010223,538,1.057658756,1.392680187,1.292385731,-0.722467581,5,5,5,2
35010224,560,-0.230903606,0.856721722,0.432364834,-0.462526752,3,5,4,3
35010225,844,1.067712051,2.846610068,0.13129605,0.243165451,5,5,4,4
35010226,502,1.551936993,2.009937029,0.501668153,0.795491417,5,5,4,5
35010227,322,-0.031724075,0.189213808,0.908473116,-0.528311215,4,4,5,2
35010228,617,-0.303063957,-0.931817389,0.878550231,-0.487949393,3,1,5,3
35010229,650,-0.518448168,-0.660659604,0.26266561,-0.609109859,2,2,4,2
35010230,426,-0.73572688,-1.212825684,0.67694746,-0.432297087,2,1,5,3
35010231,436,-0.522703083,-0.665552622,0.632253513,-0.639004505,2,2,5,2
35010232,434,-0.560240439,0.273891429,0.60583298,-1.128427479,2,4,5,1
35010233,512,-0.395836931,-0.328691115,0.900300001,-0.824503314,3,3,5,1
35010234,498,-0.249860561,0.444391165,0.115058856,-0.845493016,3,4,4,1
35010235,495,1.610793808,-0.07227234,2.510279186,-0.957105356,5,3,5,1
35010237,517,1.296903508,1.560136737,2.266860927,-0.727934275,5,5,5,2
35010238,419,1.515629917,2.154263585,0.636379257,-0.59892109,5,5,5,2
35010239,511,1.273198376,1.211120797,0.839729569,-0.805537893,5,5,5,1
35010240,447,0.847252186,2.275188222,-0.737482483,-0.715458134,5,5,1,2
35010241,554,0.726902524,2.572685096,-0.272189805,-0.299433417,4,5,3,3
35010242,441,0.655875603,2.312699847,-0.06484696,-0.757868886,4,5,3,2
35010243,491,0.397125762,2.054537397,0.340978905,-0.594900642,4,5,4,2
35010244,552,0.991745919,2.292225897,0.163633985,-0.374982809,5,5,4,3
35010245,559,0.901020777,2.381374874,0.141298272,-0.838692389,5,5,4,1
35010246,427,1.028630493,0.373715831,0.883402497,-0.638868,5,4,5,2
35010247,628,2.630755937,1.588885438,3.817124659,-1.365087661,5,5,5,1
35010248,537,2.546595537,1.513889895,10.05126067,-1.414181562,5,5,5,1
35010249,502,0.760491391,1.263346987,0.961417238,-0.895819253,5,5,5,1
35010250,362,-0.037522129,0.253591167,-0.00890911,-1.114820816,4,4,3,1
35010251,350,-0.781302225,-0.115935529,0.299668405,-0.63713563,1,3,4,2
35010252,381,-0.031361078,0.477189538,0.25410701,-0.768025412,4,4,4,2
35010253,731,0.002312264,-0.113604029,0.295935164,-0.526198884,4,3,4,2
35010254,381,-0.700704597,-0.357440127,0.686346398,-0.609540344,2,3,5,2
35010255,266,-0.39234085,0.752228849,0.348145552,-0.459846821,3,5,4,3
35010256,356,-0.401441796,0.706742877,0.101799443,-1.086389034,3,5,4,1
35010257,416,0.434136358,-0.137425061,0.68378404,-0.815307314,4,3,5,1
35010258,482,-0.249651959,-0.100526593,0.442781061,-0.627107404,3,3,4,2
35010259,268,0.123628534,-1.736925657,0.772736091,-0.850242142,4,1,5,1
35010260,703,0.041700151,1.113577078,-0.392908223,-0.192848981,4,5,2,3
35010261,483,-0.144415929,1.123029064,0.622157222,-0.926746982,3,5,5,1
35010262,326,-0.03952302,0.13174386,1.290762234,-0.888826571,4,4,5,1
35010263,315,-0.591392201,-1.159205593,1.682952569,-0.938177843,2,1,5,1
35010264,488,0.422255563,0.173674242,1.251910492,-0.558461813,4,4,5,2
35010265,364,-0.622152027,-0.705507755,0.71960366,-0.833925468,2,2,5,1
35010266,642,0.752283161,0.685058659,1.46100486,-0.540582449,5,5,5,2
35010267,406,0.031875488,1.013101968,0.959847845,-1.131055544,4,5,5,1
35010268,422,1.853489401,1.636469725,0.879319433,-0.556755314,5,5,5,2
35010269,637,0.22298201,0.023191199,2.040409949,-0.787073596,4,4,5,2
35010270,397,1.573020103,3.246133487,0.013374873,-0.630358673,5,5,3,2
35010271,343,0.712427944,2.756269124,-0.484981063,-0.334911513,4,5,2,3
35010272,382,1.249804257,3.348452278,-0.165888842,-0.344081322,5,5,3,3
