PCODE3,in1SD_Instability_DA16,in1SD_Deprivation_DA16,in1SD_Dependency_DA16,in1SD_Ethniccon_DA16,in1SD_Instability_q_DA16,in1SD_Deprivation_q_DA16,in1SD_Dependency_q_DA16,in1SD_Ethniccon_q_DA16
L7A,0.946666667,0.96,0.96,0.92,0.946666667,0.946666667,0.973333333,0.88
L5V,0.957746479,0.957746479,0.943661972,0.957746479,0.915492958,0.943661972,0.929577465,0.971830986
L6Y,0.945054945,0.956043956,0.967032967,0.912087912,0.912087912,0.934065934,0.934065934,0.89010989
L4Z,0.977272727,0.954545455,0.977272727,1,1,1,1,0.977272727
L4A,0.931818182,0.931818182,0.931818182,0.954545455,0.931818182,0.954545455,0.840909091,0.931818182
L6V,0.938461538,0.969230769,0.969230769,0.969230769,1,1,0.953846154,0.938461538
K8N,0.935483871,0.951612903,0.935483871,0.919354839,1,1,0.967741935,0.935483871
K9K,1,0.944444444,1,1,1,0.944444444,1,0.888888889
K7G,0.96,0.96,0.92,0.92,0.96,1,0.96,0.96
K9J,0.948453608,0.948453608,0.948453608,0.948453608,1,1,0.927835052,0.979381443
L4B,0.963636364,0.945454545,1,0.945454545,1,0.963636364,1,0.927272727
L6T,0.958333333,0.9375,0.958333333,0.9375,1,0.958333333,0.916666667,0.9375
L1E,0.973684211,0.921052632,0.973684211,0.947368421,0.947368421,0.947368421,0.868421053,0.894736842
K0K,0.947368421,0.934210526,0.964912281,0.964912281,0.956140351,1,0.99122807,0.960526316
K0L,0.955696203,0.949367089,0.981012658,0.955696203,0.981012658,1,0.962025316,0.981012658
K0M,0.927710843,0.939759036,0.975903614,0.963855422,0.927710843,0.939759036,0.951807229,0.987951807
L4W,0.972222222,0.916666667,0.972222222,0.944444444,1,1,1,1
L4S,0.913043478,0.956521739,0.956521739,0.956521739,0.913043478,0.956521739,0.913043478,0.956521739
L3T,0.985294118,0.970588235,0.926470588,0.941176471,1,0.985294118,0.985294118,0.941176471
L4N,0.920903955,0.937853107,0.949152542,0.960451977,1,1,0.90960452,0.937853107
L6C,0.979166667,0.958333333,0.979166667,0.958333333,0.9375,0.958333333,0.916666667,0.958333333
L4J,0.958762887,0.958762887,0.958762887,0.958762887,0.948453608,0.989690722,1,0.958762887
L6E,0.894736842,0.947368421,0.947368421,0.947368421,0.894736842,1,0.894736842,0.947368421
L4T,0.935483871,0.967741935,0.951612903,0.935483871,0.951612903,0.967741935,0.967741935,0.983870968
L1N,0.943181818,0.965909091,0.943181818,0.954545455,1,1,1,0.920454545
L5W,0.962962963,0.925925926,0.962962963,0.925925926,0.962962963,0.925925926,1,0.925925926
L5C,0.956521739,0.956521739,0.956521739,0.934782609,1,1,0.913043478,0.97826087
L4L,0.93258427,0.93258427,0.91011236,0.97752809,0.91011236,0.943820225,1,0.865168539
L1K,0.960784314,0.941176471,0.960784314,0.921568627,0.941176471,0.901960784,0.980392157,0.960784314
L5M,0.929824561,0.973684211,0.947368421,0.921052632,0.912280702,0.964912281,0.956140351,0.964912281
L4K,0.933333333,0.933333333,0.933333333,0.933333333,1,1,1,1
L3S,0.981818182,0.927272727,0.945454545,0.981818182,0.981818182,0.945454545,0.945454545,1
K8V,0.947368421,0.964912281,0.894736842,0.912280702,1,0.98245614,0.947368421,0.947368421
L0G,0.9375,0.958333333,0.96875,0.947916667,0.895833333,0.895833333,0.9375,0.947916667
K9A,0.962962963,0.981481481,0.981481481,0.944444444,1,1,0.981481481,1
K9H,0.93877551,0.93877551,0.959183673,0.959183673,0.959183673,0.959183673,0.93877551,1
L5B,1,0.925925926,0.907407407,0.962962963,1,1,1,0.962962963
K9V,0.961538462,0.961538462,0.980769231,0.961538462,1,1,0.942307692,0.961538462
L0B,0.983050847,0.93220339,0.93220339,0.949152542,0.93220339,0.949152542,1,0.966101695
L0C,0.970588235,0.941176471,0.970588235,0.941176471,1,1,1,1
L1V,0.94047619,0.964285714,0.964285714,0.928571429,0.928571429,0.928571429,0.94047619,0.952380952
L4E,0.9,0.95,0.95,0.85,0.85,0.95,0.9,0.95
L0K,0.95049505,0.940594059,0.940594059,0.97029703,0.920792079,1,0.97029703,0.98019802
L3X,0.903225806,0.967741935,0.935483871,0.903225806,0.967741935,0.967741935,0.935483871,0.838709677
