2016_weightedAverage_round.TotalPop2016,2016_weightedAverage_round.Instability_DA16,2016_weightedAverage_round.Deprivation_DA16,2016_weightedAverage_round.Dependency_DA16,2016_weightedAverage_round.Ethniccon_DA16,2016_weightedAverage_round.Instability_q_DA16,2016_weightedAverage_round.Deprivation_q_DA16,2016_weightedAverage_round.Dependency_q_DA16,2016_weightedAverage_round.Ethniccon_q_DA16,2016_weightedAverage_round.PCODE3
20114,0.056280496,-0.936639465,-0.024518278,0.11258964,3,1,3,4,M4N
52806,-0.456787096,0.936518564,0.316348121,2.165533341,2,5,4,5,M1V
81222,-0.963980304,-0.214854489,-1.091881606,1.915102115,1,3,1,5,L7A
18426,0.69961022,0.716631871,-0.317215958,0.663529022,4,4,2,4,M4B
55036,-0.622672961,-0.206451249,-0.675193049,1.934945792,2,3,2,5,L5V
36127,0.49572227,1.487787608,-0.26412068,1.982199345,4,4,3,5,M1J
89337,-0.311568341,0.033438505,-0.559848791,1.93291994,2,3,2,5,L6Y
30858,-0.520835507,-0.161378914,-0.220200798,-0.379561967,2,3,2,3,L9S
38325,-0.023063903,-0.120913462,-0.523892256,1.473005893,3,3,2,5,L4Z
45987,-0.626485656,-0.845055943,-0.268375932,0.29490838,2,2,2,4,L4A
44462,-0.09740753,0.495972932,-0.55462044,1.210737838,3,4,2,5,L6V
39232,0.041448225,0.012576706,0.448748624,-0.642753402,3,3,4,2,K8N
14777,-0.272497666,-0.636004419,0.379753315,-0.330035114,3,2,4,3,K9K
30688,0.258277783,0.679305205,-0.103457073,1.305917442,4,4,3,5,M1R
13694,-0.099985774,-0.298981257,0.640401051,-0.900809169,3,3,4,1,K7G
59696,0.332315489,0.248380045,0.389173924,-0.51127134,4,3,4,2,K9J
37371,-0.181631859,-0.568716235,-0.090354197,1.661638849,3,2,3,5,L4B
49214,-0.013692338,0.569891292,-0.568402403,1.809308397,3,4,2,5,L6T
28911,-0.634243395,-0.582182641,-0.413741831,-0.271687465,2,2,2,3,L1E
135311,-0.393586264,-0.146577831,0.612268938,-0.872433089,3,3,4,1,K0K
20766,0.146163761,-0.891029766,-0.466096341,0.058699434,3,2,2,4,M4G
97545,-0.357063392,-0.008696682,0.866808907,-0.924095441,3,3,4,1,K0L
47366,0.764767579,0.331677736,-0.51838892,0.896312489,4,4,2,4,M4C
38133,1.037520403,0.645659074,0.17833316,1.516667236,4,3,3,4,M3C
58898,-0.288930161,-0.057215236,1.168012293,-0.995719182,3,3,4,1,K0M
23690,-0.204592725,-0.216675733,0.311696647,0.412057131,3,3,3,4,L4W
37631,-0.701805768,-0.532122593,-0.406666677,1.740033865,2,2,2,5,L4S
79521,1.413075185,-0.632523319,-0.247709495,1.994589645,4,2,3,5,M2N
51676,0.178478496,-0.605476161,0.21283728,1.155771762,3,2,4,4,L3T
47342,1.15549695,0.089569497,0.157557151,1.615949624,5,3,3,5,M2R
39024,0.498160062,0.09223469,-0.279540231,0.188114976,4,3,2,4,M4J
35489,0.667968371,-0.081858646,-0.716807143,0.020590018,4,3,2,4,M4L
107502,-0.187234584,-0.114672538,-0.569447584,-0.106369737,3,3,2,3,L4N
56520,-0.508070552,-0.547498059,-0.521709043,1.824782497,2,2,2,5,L6C
78932,-0.414890052,-0.764173881,-0.197031798,0.648724702,2,2,3,4,L4J
39502,0.366636771,2.971042058,-0.304304956,2.112031893,4,5,2,5,M3N
36561,-0.838325776,-0.497783946,-0.480693488,1.906278136,1,2,2,5,L6E
35451,0.760382224,-0.22194485,0.349863426,1.882157876,4,3,3,5,M2M
38470,-0.041882196,1.039227568,-0.327709585,2.306033246,3,5,3,5,L4T
52398,-0.021645577,-0.222755977,-0.103318048,-0.111544913,3,3,3,3,L1N
25174,-1.158154847,-0.470124928,-0.920536525,1.883507494,1,2,1,5,L5W
29767,-0.216753913,0.036204328,-0.152533013,1.067630599,3,3,3,5,L5C
13335,-0.342272392,-0.614440715,0.027199463,0.772659155,2,2,3,4,M3B
25022,0.987630507,-0.109025059,-0.607477292,0.35544251,5,3,2,4,M4M
24475,1.891226091,-0.730458328,-0.44096427,0.343795312,5,2,2,4,M4P
99489,-0.811100764,-0.502264741,-0.188728415,0.275652378,2,2,3,4,L4L
42660,-0.666991244,-0.307279579,-0.635646347,0.263959669,2,3,2,4,L1K
110592,-0.494992018,-0.368550764,-0.636770131,1.857591134,2,2,2,5,L5M
17874,-0.555041456,-0.511525678,-0.357668571,0.666716508,2,2,2,5,L4K
52693,0.016485518,0.680046103,0.47331501,1.698010763,3,4,4,5,M1W
33202,1.015711775,-0.241228066,-0.416772228,0.04572433,4,3,2,4,M4K
55660,-1.058716116,0.371338577,-0.206805023,2.013136257,1,4,3,5,L3S
32830,0.01161655,0.212709073,0.245496372,-0.675463197,3,3,4,2,K8V
57762,-0.578618945,-0.599403296,-0.235685705,-0.503081467,2,2,3,2,L0G
29563,0.011337121,-0.192498935,0.939249518,-0.773968488,3,3,4,2,K9A
37676,0.653514771,-0.383060717,-0.393525906,0.885490568,4,2,2,4,M3H
31255,0.823127335,0.498531923,0.567853071,-0.45197022,4,4,4,2,K9H
45161,0.590172639,0.66651414,0.023316985,1.641044709,4,4,3,5,M1P
65271,0.853790427,-0.114875732,-0.272285334,2.024754343,4,3,3,5,L5B
34197,0.037965681,0.169821034,0.887423421,-0.71685445,3,3,4,2,K9V
33124,-0.552209159,-0.526757735,-0.040895603,-0.67256488,2,2,3,2,L0B
31935,0.852923397,0.984263977,-0.400823267,1.818230986,4,4,3,5,M3J
20316,-0.61545,-0.574834049,-0.051893241,-0.69855884,2,2,3,2,L0C
59934,-0.469786004,-0.325416436,-0.380074268,0.560462733,2,3,2,4,L1V
52320,-0.86840326,-0.759171718,-0.9208642,1.276475801,1,2,1,5,L4E
57712,-0.332979099,-0.117832044,0.518534869,-0.92439758,3,3,4,1,L0K
43189,-0.683565508,-0.57871249,-1.039724424,0.710823915,2,2,1,4,L3X
64590,-0.533862576,-0.539446404,0.057610358,-0.646406541,2,2,3,2,L0L
50347,-0.623157275,-0.703189111,-0.64617953,-0.312254578,2,2,2,3,L7G
51109,-0.455779331,-0.376236511,-0.241629617,-0.663599842,2,2,3,2,L0M
58231,-0.532989262,0.099033952,-0.410619133,1.076705671,2,3,2,5,L6S
107954,-0.692842941,-0.81213014,-1.012914945,0.929158156,2,1,1,4,L9T
52757,-0.420723969,-0.360329754,-0.426282525,-0.368677793,2,2,2,3,L1C
69134,-0.57515338,-0.081937584,-0.855516844,1.5907694,2,3,1,5,L6X
19661,-0.061482872,-0.175673202,0.580807343,-0.840501892,3,3,4,1,L1A
19450,-0.35263606,-0.789212866,-0.365414913,0.141798558,2,2,2,4,L5H
14285,-0.501320046,-0.55554469,0.715837654,-0.581331,2,2,3,2,L1B
29088,-0.019100262,-0.262357864,-0.221925566,0.196286365,3,3,3,4,L5J
45107,0.559184919,0.626041036,0.426076156,-0.358263093,4,4,3,3,L1G
32112,0.243780578,-0.192200675,0.98962772,-0.511404913,4,3,4,2,L2N
55709,0.085234551,0.415049217,-0.145739877,-0.111183961,3,3,3,3,L1H
48231,-0.393036333,-0.43077739,-0.514141044,-0.391557389,2,2,2,3,L9W
44399,0.359514458,1.048910299,-0.02315069,-0.266731989,4,4,3,3,L1J
25631,0.502084198,-0.427929049,-0.63901519,-0.169410325,4,2,2,3,M4E
19044,1.020248904,0.684238707,0.070277572,1.45312278,4,4,3,5,M4A
46743,0.467645145,1.127172299,-0.181405698,1.578036936,4,5,3,5,M1K
58853,0.780459168,0.025587658,-0.02952049,2.054904308,4,3,3,5,M2J
42529,-0.770417064,-0.526443737,-0.740468241,0.519718038,2,2,2,4,L1R
76877,-0.177873678,-0.142540916,0.148584356,1.715566164,2,3,3,5,L3R
46873,-0.17164154,-0.029379029,-0.391855689,0.444554569,3,3,2,4,L1S
68396,-0.378132643,-0.680022945,-0.72224543,0.701453927,2,2,2,4,L6H
51277,-0.900732284,-0.236784846,-0.833665389,1.194907125,1,3,1,5,L1T
28584,0.161301354,-0.278062167,0.648139923,-0.728606002,3,2,4,2,L9Y
45658,0.233865442,0.940166539,0.022157186,1.054490751,3,4,3,4,M1E
17035,-0.14190393,-0.272923735,-0.064873256,-0.076089593,3,3,3,3,L1W
23019,-0.716655838,-0.466833736,-0.750310092,0.968559374,2,2,2,5,L1X
3212,-0.229013409,-0.602158027,-0.050848841,-0.406839227,3,2,3,3,L1Y
28338,0.591415788,1.11372626,-0.276536422,1.389529059,4,5,3,5,M3M
30296,-0.90456148,-0.402608767,-1.155970479,1.460090761,1,2,1,5,L1Z
18673,0.027354344,0.420349108,0.627018183,-0.624673582,3,4,4,2,L2A
41810,0.169364373,0.211417217,0.254376422,-0.263748378,3,3,3,3,L2E
85653,-1.265589208,-0.07976097,-0.738687384,2.208371133,1,3,2,5,L6P
29573,0.334232726,0.712972303,0.227600708,-0.360554718,4,4,4,3,L2G
48777,0.626420857,0.291165724,-0.131080074,1.341814756,4,4,3,4,L5A
30438,-0.384472963,-0.36096751,-0.076804646,-0.072518043,3,2,3,3,L2H
36062,-0.729637289,-0.4072825,0.050901046,0.607698717,2,2,3,4,M1C
33894,0.254912377,0.315002047,0.539129547,-0.386250151,4,4,4,2,L2M
24840,0.134759187,0.062159109,0.675909837,1.558231556,3,3,4,5,M2H
42237,0.517467569,0.234292822,0.00679678,-0.337795489,4,3,3,3,L2R
36051,-0.905223929,-0.543818707,-0.643283973,-0.251104467,1,2,2,3,L7E
22977,1.055074988,1.501067439,-0.493742778,3.013108725,5,4,2,5,M4H
64082,-0.006402316,-0.140674077,-0.435324968,-0.277833269,3,3,2,3,L4M
85696,-0.600973593,-0.480055166,-0.816544995,0.90820771,2,2,2,4,L5N
86804,-0.870251963,-0.51004986,-0.736401263,0.887257434,1,2,2,4,L6A
17489,-0.038764193,1.791790881,0.068398176,1.286168245,3,5,3,5,M3L
34881,-0.688582326,-0.160422424,-0.626132559,1.000428267,2,3,2,4,L6Z
46588,0.200491314,0.312025257,0.4944416,-0.646385563,4,4,4,2,L3V
15905,-1.244979265,0.260604164,-0.536740934,1.873316233,1,4,2,5,M1X
25799,1.128638794,-0.758500711,0.033486677,1.629766653,4,2,3,5,M2K
68124,-0.225361083,-0.376527329,-0.427003514,0.165383737,3,2,2,4,L3Y
33455,-0.552636698,-0.339225275,-0.701339588,0.212683183,2,3,2,4,L3Z
12249,-0.88702767,-0.948087134,-0.581994894,-0.444154214,1,1,2,3,L9X
91047,0.091117638,-0.320366815,0.003369297,1.183544573,3,2,3,5,L4C
56711,-0.391747726,-0.68502685,-0.603591867,0.299014604,2,2,2,4,L4G
72543,-1.138577702,-0.479372517,-0.898760735,0.721531231,1,2,1,4,L4H
31956,-0.361418291,-0.063279707,-0.569157253,-0.364129304,3,3,2,3,L4P
89282,-1.166629428,0.065630158,-0.667407488,2.300144934,1,4,2,5,L6R
23022,0.232191122,0.415754099,-0.008077727,0.722741754,3,3,3,4,M1M
22227,0.119297845,0.360089931,0.661328712,-0.718780931,3,4,4,2,L4R
46039,-0.252685769,-0.22073092,-0.099755547,0.711785694,3,3,3,4,L5L
65487,-0.723517099,-0.79583529,-0.993597194,1.080713044,2,2,1,5,L6M
39350,0.776229889,0.432937142,0.454118967,1.649841336,4,4,4,5,M1T
19735,0.40874548,0.666699789,-0.36949517,1.342010728,4,4,3,4,L4X
28227,0.12695595,0.195287506,0.110489849,0.560806779,3,3,3,4,L4Y
31796,0.608355534,0.405884955,-0.443042993,1.241123685,4,4,2,4,M3A
60929,-0.37976175,0.818385704,-0.248951028,1.778853617,2,4,3,5,M1B
13057,0.246772037,-0.066373203,0.008214197,-0.221026197,3,3,3,3,L5E
27567,-0.299135003,-0.320526637,0.068512062,-0.446484672,3,3,2,3,L9R
21860,0.634543983,-0.248730406,-0.222249828,-0.022285606,4,3,3,3,L5G
18851,-0.086869631,0.301272618,-0.286935672,1.130076013,3,3,3,4,L5K
37672,-0.199749581,-0.183778817,-0.257999722,1.653754359,3,3,3,5,L5R
37241,-0.975224989,-0.445063226,-0.765854634,1.673756446,1,2,2,5,L6B
17939,-0.560122371,-0.553742649,-0.445915584,-0.534267723,2,2,2,2,L7J
26888,-0.548150374,-0.908532729,-0.207995004,0.465421419,2,1,3,4,L6J
21905,0.103629808,0.39955143,-0.100889162,0.81562423,3,4,3,4,L6W
16022,-0.623733918,-0.971897077,-0.542495734,-0.093794001,2,1,2,3,L7B
28450,-0.68974392,-0.708781004,-0.585070743,0.254945001,2,2,2,3,L7C
33953,-0.395393637,-0.643864282,-0.064395434,-0.393810339,2,2,3,3,L7P
31920,0.521723894,0.76995456,-0.141828708,2.090669096,4,4,3,5,M1H
41549,-0.106418916,0.274752732,0.183966741,0.122941202,3,3,3,4,L9C
41990,-0.21612909,-0.660306957,0.277130275,-0.536969112,3,2,3,2,L9H
46317,0.187169962,0.524033979,0.468035119,1.874502767,3,4,4,5,M1S
36956,0.379709643,0.633955506,-0.339435549,1.716044714,4,4,2,5,M1L
15140,-0.039260352,-0.51187533,-0.224050575,1.137083859,3,2,3,5,M2L
9089,-0.011597498,-0.81762967,-0.01064689,0.736910837,3,1,3,5,M2P
8943,0.869979789,0.082229883,-0.288786011,1.102315362,4,3,2,5,M3K
11696,0.775046921,-0.820728084,-0.670284027,0.184868673,4,2,2,4,M4R
28245,1.599140376,-0.989347411,-0.464184783,0.312842525,4,1,2,4,M4S
15394,1.324042921,-0.859097579,0.14018486,-0.163340025,4,2,3,3,M4T
19660,1.658275651,-1.092556338,-0.013651332,-0.183694572,5,1,3,3,M4V
17972,1.410548054,-1.140208796,0.15300833,0.097851217,4,1,3,4,M4W
20825,2.174564007,0.849365447,-0.460825434,1.617914713,5,4,2,4,M4X
35463,2.981052632,-0.714998802,-0.608814912,0.729510978,5,2,2,4,M4Y
41698,2.374974735,0.479269674,-0.640576858,0.651892028,5,3,2,4,M5A
19889,2.785906478,-0.90756068,-0.717330647,0.731147274,5,2,1,4,M5B
5386,2.646413216,-1.120236166,-0.551235073,0.287972041,5,1,2,4,M5C
19982,2.393769468,-1.041768889,-0.731761762,0.62330911,5,1,2,4,M5E
28251,-0.146866678,-0.743222054,-0.434184284,0.298160048,3,2,2,4,M5M
17403,0.468465028,-0.584933919,-0.54838538,0.514356997,3,2,2,4,M5N
20742,1.186458256,-0.959241998,-0.289357049,0.117810847,4,1,2,4,M5P
